Job titiles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
.Net Developer,65%,248,1734,0.143021915,Construction
3D Animator,50%,132,1041,0.126801153,Medical & Healthcare
3D Artist,50%,156,1190,0.131092437,Supply Chain & Logistics
3D Designer,25%,272,1956,0.139059305,Sales & Marketing
3D Modeler,60%,204,1735,0.117579251,Leadership & Strategy
911 Dispatcher,60%,133,1008,0.131944444,Law Enforcement
911 Operator,60%,133,1007,0.132075472,Construction
Aba Therapist,10%,379,1898,0.199683878,Hospitality
Abap Developer,65%,242,1696,0.142688679,Sales & Marketing
Academic Administrator,10%,858,3596,0.238598443,Construction
Academic Advisor,15%,905,3602,0.251249306,Construction
Academic Counselor,15%,885,3544,0.249717833,Sales & Marketing
Academic Dean,10%,861,3610,0.238504155,Sales & Marketing
Academic Director,10%,939,3837,0.244722439,Administrative & Clerical
Academic Tutor,10%,897,3887,0.230769231,Administrative & Clerical
Accessioner,60%,46,410,0.112195122,Construction
Accompanist,5%,558,2355,0.236942675,Medical & Healthcare
Account Administrator,30%,217,1313,0.165270373,Sales & Marketing
Account Analyst,45%,623,2143,0.290713952,Law Enforcement
Account Assistant,10%,1027,4177,0.245870242,Data & IT
Account Coordinator,10%,1040,4194,0.247973295,Administrative & Clerical
Account Executive,15%,1162,4586,0.253379852,Law Enforcement
Account Representative,25%,211,1581,0.133459836,Law Enforcement
Accountant,60%,117,966,0.121118012,Hospitality
Accounting Administrator,25%,219,1577,0.138871275,Communication & PR
Accounting Analyst,45%,619,2132,0.290337711,Construction
Accounting Assistant,30%,219,1320,0.165909091,Hospitality
Accounting Associate,30%,220,1321,0.1665405,Communication & PR
Accounting Auditor,40%,680,2109,0.322427691,Sales & Marketing
Accounting Clerk,75%,145,1299,0.111624326,Communication & PR
Accounting Consultant,35%,240,1585,0.151419558,Hospitality
Accounting Director,25%,194,1417,0.136908963,Data & IT
Accounting Instructor,10%,899,3715,0.241991925,Hospitality
Accounting Professor,5%,957,4189,0.228455479,Leadership & Strategy
Accounting Specialist,30%,224,1338,0.167414051,Data & IT
Accounting Technician,35%,213,1460,0.145890411,Communication & PR
Accounting Tutor,5%,917,4008,0.228792415,Medical & Healthcare
Accounts Payable,60%,154,1154,0.133448873,Communication & PR
Accounts Payable Analyst,45%,622,2145,0.28997669,Sales & Marketing
Accounts Payable Assistant,30%,219,1351,0.162102147,Administrative & Clerical
Accounts Payable Clerk,30%,219,1351,0.162102147,Leadership & Strategy
Accounts Payable Coordinator,25%,225,1585,0.141955836,Administrative & Clerical
Accounts Payable Specialist,40%,713,2244,0.317736185,Hospitality
Accounts Receivable Clerk,35%,217,1451,0.149552033,Data & IT
Accounts Receivable Specialist,40%,713,2253,0.316466933,Communication & PR
Acquisition Specialist,25%,202,1427,0.141555711,Leadership & Strategy
Activist,10%,887,3578,0.247903857,Construction
Activities Coordinator,15%,1085,4318,0.251273738,Leadership & Strategy
Activities Director,10%,844,3562,0.236945536,Supply Chain & Logistics
Activity Assistant,5%,1053,4214,0.249881348,Administrative & Clerical
Actor,10%,742,3160,0.234810127,Data & IT
Actuarial Analyst,50%,160,1519,0.105332456,Medical & Healthcare
